geoid,households_total,households_0_10k,households_10_15k,households_15_20k,households_20_25k,households_25_30k,households_30_35k,households_35_40k,households_40_45k,households_45_50k,households_50_60k,households_60_75k,households_75_100k,households_100_125k,households_125_150k,households_150_200k,households_200k_plus
480139602022,808,53,0,0,0,11,15,54,90,39,154,119,63,58,92,45,15
480139602023,299,13,0,0,27,23,0,0,16,29,23,73,0,26,31,0,38
480139602024,817,78,51,113,113,19,36,0,29,0,87,41,108,124,0,18,0
480139603001,645,70,34,44,18,89,0,29,82,0,16,94,44,65,12,0,48
480139603002,568,64,0,59,15,62,70,23,19,84,32,86,37,12,0,5,0
480139604011,707,29,19,39,41,40,21,50,49,43,84,111,108,49,0,24,0
480139604021,142,0,0,0,0,65,0,0,0,0,0,42,0,35,0,0,0
480139604022,1115,61,47,0,13,55,11,0,16,23,43,109,202,135,149,91,160
480139604023,193,0,0,15,0,0,0,17,0,0,13,54,38,21,24,11,0
480139604024,457,12,57,0,29,0,20,0,0,0,227,74,38,0,0,0,0
480139604025,1069,37,72,72,64,41,51,12,19,15,30,108,166,169,147,66,0
480139605001,462,43,13,28,27,30,33,7,45,22,78,29,42,18,32,15,0
480139605002,450,14,56,46,22,63,8,40,10,14,22,58,51,16,3,18,9
480139606001,792,87,18,14,63,134,35,11,12,0,91,32,102,130,51,12,0
480139606002,434,0,0,67,48,16,0,16,9,0,9,57,104,45,27,36,0
480139606003,402,0,30,0,0,0,0,16,30,93,0,38,60,97,0,0,38
480139606004,400,36,17,3,10,64,43,11,23,23,8,30,30,94,2,3,3
480157601001,581,50,18,45,81,17,38,25,15,26,14,57,97,68,12,18,0
480157601002,407,22,36,21,36,5,13,29,15,0,36,37,60,41,32,12,12
480157602001,334,14,10,13,20,28,54,35,0,0,35,25,18,40,0,39,3
480157602002,778,8,88,20,53,30,13,4,6,82,27,15,138,79,72,62,81
480157602003,280,23,26,2,22,21,20,12,32,0,31,22,39,12,10,6,2
480157602004,704,69,57,12,108,19,16,29,0,58,37,79,115,42,49,0,14
480157603001,576,42,71,8,0,0,85,0,17,34,173,5,54,20,20,28,19
480157603002,660,17,15,56,47,10,6,0,0,33,29,111,86,156,0,78,16
480157603003,900,0,0,16,64,15,30,0,24,65,32,99,179,229,69,59,19
480157603004,451,67,16,31,0,48,36,19,27,0,16,23,49,74,0,23,22
480157604001,612,23,15,9,23,35,31,49,0,64,66,48,59,96,27,30,37
480157604002,335,83,0,1,8,11,14,5,0,1,16,16,85,26,25,41,3
480157604003,472,18,9,44,71,0,16,29,25,9,28,36,95,37,20,2,33
480157605011,503,44,24,0,32,0,29,9,44,12,21,9,65,70,37,78,29
480157605012,995,44,0,9,23,11,64,9,26,24,83,63,111,229,110,39,150
480157605013,251,0,13,36,0,0,50,0,0,0,9,18,74,10,13,28,0
480157605021,594,30,64,13,65,21,93,17,21,31,27,43,29,47,35,58,0
480157605022,233,0,0,19,0,0,0,34,31,0,0,0,115,0,34,0,0
480157605023,564,40,15,20,152,0,0,18,65,0,58,0,27,83,61,25,0
480157605024,791,0,0,85,106,105,53,29,0,16,60,168,49,103,0,0,17
480179501001,289,0,21,0,13,0,67,31,27,7,29,0,41,17,0,36,0
480179501002,975,63,36,14,137,90,53,33,57,95,81,97,105,75,24,15,0
480179501003,288,0,35,0,13,10,23,44,0,64,85,0,14,0,0,0,0
480179501004,236,0,0,20,101,22,0,67,0,26,0,0,0,0,0,0,0
480179501005,251,93,0,0,16,0,0,0,0,0,18,0,55,33,0,0,36
480179501006,191,0,2,20,5,11,8,22,0,4,33,37,22,13,14,0,0
480190001011,1442,107,30,119,19,38,37,36,63,119,100,171,226,154,140,49,34
480190001012,321,20,67,28,9,19,8,6,26,20,4,26,64,8,6,10,0
480190001021,475,67,62,23,25,0,29,21,21,0,29,13,131,25,8,7,14
480190001022,1085,62,135,0,67,45,15,30,41,3,124,130,48,142,5,139,99
480190001023,501,0,0,0,22,27,44,0,84,29,33,22,164,0,35,23,18
480190002001,619,23,46,28,35,49,10,48,75,6,109,53,48,49,10,7,23
480190002002,383,10,36,22,6,14,23,32,0,63,29,26,41,52,8,10,11
480190003001,713,35,14,0,40,0,17,21,63,62,41,162,134,10,81,0,33
480190003002,1169,73,40,10,32,0,61,89,94,81,155,85,61,126,39,87,136
480190003003,608,43,13,67,67,72,45,33,14,36,0,93,101,0,15,9,0
480190004001,464,50,7,27,19,28,11,39,56,15,23,103,8,48,26,4,0
480190004002,498,24,30,8,43,63,18,21,7,0,38,18,41,63,85,25,14
480219501001,595,16,0,36,19,14,0,0,0,18,50,88,152,42,43,79,38
480219501002,678,0,0,15,33,0,76,32,64,45,42,20,164,57,88,42,0
480219501003,649,41,12,36,41,0,49,62,16,32,42,84,35,78,81,22,18
480219501004,662,71,0,64,0,0,0,13,59,12,90,93,90,67,35,54,14
480219501005,404,14,10,21,31,4,10,26,36,3,46,35,74,58,19,7,10
480219502001,614,13,51,0,17,44,0,0,24,57,119,107,15,50,61,40,16
480219502002,951,60,76,67,11,108,21,32,56,12,37,106,137,179,14,13,22
480219502003,364,0,22,0,55,68,0,16,0,7,36,62,49,26,0,11,12
480219502004,353,92,0,17,16,73,31,51,0,34,0,18,12,9,0,0,0
480219502005,332,0,50,38,45,10,0,40,11,0,42,13,62,0,0,21,0
480219503001,425,28,22,0,52,0,0,59,23,20,22,12,93,94,0,0,0
480219503002,1565,0,0,70,145,60,0,21,193,67,98,117,171,140,275,183,25
480219503003,1004,79,19,0,25,73,103,58,0,59,81,70,121,77,15,224,0
480219503004,714,54,0,0,0,0,27,0,51,125,0,86,49,256,43,23,0
480219503005,1236,45,135,21,74,0,13,56,0,126,132,152,281,165,0,36,0
480219504001,632,137,19,41,0,33,111,0,22,42,78,90,52,7,0,0,0
480219504002,696,17,0,82,29,29,14,75,69,0,59,103,100,91,15,0,13
480219504003,406,24,0,37,0,31,64,46,0,0,18,32,21,23,61,26,23
480219504004,725,23,78,16,13,33,18,79,30,75,23,116,103,80,30,0,8
480219504005,892,0,48,65,47,70,0,42,33,0,159,61,165,50,81,58,13
480219505011,1080,43,58,116,0,151,20,40,147,9,45,95,146,47,0,125,38
480219505012,535,62,0,0,61,33,48,12,0,56,52,84,76,0,32,0,19
